DATE,FII_Net_Purchase_Sales,DII_Net_Purchase_Sales,Total_Net
02-Sep-25,"-1,159.50","2,549.50",1390.0
01-Sep-25,"-1,429.70","4,344.90",2915.2
29-Aug-25,"-8,312.70","11,487.60",3174.8999999999996
28-Aug-25,"-3,856.50","6,920.30",3063.8
26-Aug-25,"-6,516.50","7,060.40",543.8999999999996
25-Aug-25,"-2,466.20","3,176.70",710.5
22-Aug-25,"-1,622.50",-329.2,-1951.7
21-Aug-25,"1,246.50","2,546.30",3792.8
20-Aug-25,"-1,100.10","1,806.30",706.2
19-Aug-25,-634.3,"2,261.10",1626.8
18-Aug-25,550.8,"4,103.80",4654.6
14-Aug-25,"-1,926.80","3,895.70",1968.8999999999999
13-Aug-25,"-3,644.40","5,623.80",1979.4
12-Aug-25,"-3,398.80","3,507.90",109.09999999999991
11-Aug-25,"-1,202.60","5,972.40",4769.799999999999
08-Aug-25,"1,932.80","7,723.70",9656.5
07-Aug-25,"-4,997.20","10,864",5866.8
06-Aug-25,"-4,999.10","6,794.30",1795.1999999999998
05-Aug-25,-22.5,"3,840.40",3817.9
04-Aug-25,"-2,566.50","4,386.30",1819.8000000000002
01-Aug-25,"-3,366.40","3,186.90",-179.5
31-Jul-25,"-5,588.90","6,372.70",783.8000000000002
30-Jul-25,-850,"1,829.10",979.0999999999999
29-Jul-25,"-4,636.60","6,146.80",1510.1999999999998
28-Jul-25,"-6,082.50","6,764.60",682.1000000000004
25-Jul-25,"-1,980","2,138.60",158.5999999999999
24-Jul-25,"-2,133.70","2,617.10",483.4000000000001
23-Jul-25,"-4,209.10","4,358.50",149.39999999999964
22-Jul-25,"-3,548.90","5,239.80",1690.9
21-Jul-25,"-1,681.20","3,578.40",1897.2
18-Jul-25,374.7,"2,103.50",2478.2
17-Jul-25,"-3,694.30","2,820.80",-873.5
16-Jul-25,"-1,858.20","1,223.60",-634.6000000000001
15-Jul-25,120.5,"1,555",1675.5
14-Jul-25,"-1,614.30","1,787.70",173.4000000000001
11-Jul-25,"-5,104.20","3,558.60",-1545.6
10-Jul-25,221.1,591.3,812.4
09-Jul-25,77,920.8,997.8
08-Jul-25,-26.1,"1,366.80",1340.7
07-Jul-25,321.2,"1,853.40",2174.6
04-Jul-25,-760.1,"-1,028.80",-1788.9
03-Jul-25,"-1,481.20","1,333.10",-148.10000000000014
02-Jul-25,"-1,561.60","3,036.70",1475.1
01-Jul-25,"-1,970.10",771.1,-1199.0
30-Jun-25,-831.5,"3,497.40",2665.9
27-Jun-25,"1,397",-588.9,808.1
26-Jun-25,"12,594.40",-195.2,12399.199999999999
25-Jun-25,"-2,427.70","2,373",-54.69999999999982
24-Jun-25,"-5,266","5,209.60",-56.399999999999636
23-Jun-25,"-1,874.40","5,591.80",3717.4
20-Jun-25,"7,940.70","-3,049.90",4890.799999999999
19-Jun-25,934.6,606,1540.6
18-Jun-25,890.9,"1,091.30",1982.1999999999998
17-Jun-25,"1,482.80","8,207.20",9690.0
16-Jun-25,"-2,539.40","5,781",3241.6
13-Jun-25,"-1,263.50","3,041.40",1777.9
12-Jun-25,"-3,831.40","9,393.80",5562.4
11-Jun-25,-446.3,"1,584.90",1138.6000000000001
10-Jun-25,"2,301.90","1,113.30",3415.2
09-Jun-25,"1,992.90","3,503.80",5496.700000000001
06-Jun-25,"1,009.70","9,342.50",10352.2
05-Jun-25,-208.5,"2,382.40",2173.9
04-Jun-25,"1,076.20","2,566.80",3643.0
03-Jun-25,"-2,853.80","5,908",3054.2
02-Jun-25,"-2,589.50","5,313.80",2724.3
30-May-25,"-6,449.70","9,095.90",2646.2
29-May-25,884,"4,286.50",5170.5
28-May-25,"4,662.90","7,912",12574.9
27-May-25,348.4,"10,104.70",10453.1
26-May-25,136,"1,745.70",1881.7
23-May-25,"1,794.60",299.8,2094.4
22-May-25,"-5,045.40","3,715",-1330.3999999999996
21-May-25,"2,201.80",683.8,2885.6000000000004
20-May-25,"-10,016.10","6,738.40",-3277.7000000000007
19-May-25,-526,-237.9,-763.9
16-May-25,"8,831","5,187.10",14018.1
15-May-25,"5,392.90","-1,668.50",3724.3999999999996
14-May-25,931.8,316.3,1248.1
13-May-25,-476.9,"4,273.80",3796.9
12-May-25,"1,246.50","1,448.40",2694.9
09-May-25,"-3,798.70","7,277.70",3479.0
08-May-25,"2,008",-596.2,1411.8
07-May-25,"2,585.90","2,378.50",4964.4
06-May-25,"3,794.50","-1,397.70",2396.8
05-May-25,497.8,"2,788.70",3286.5
02-May-25,"2,769.80","3,290.50",6060.3
30-Apr-25,50.6,"1,792.20",1842.8
29-Apr-25,"2,385.60","1,369.20",3754.8
28-Apr-25,"2,474.10","2,817.60",5291.7
25-Apr-25,"2,952.30","3,539.80",6492.1
24-Apr-25,"8,250.50",-534.5,7716.0
23-Apr-25,"3,332.90","-1,234.50",2098.4
22-Apr-25,"1,290.40",-885.6,404.80000000000007
21-Apr-25,"1,970.20",246.6,2216.8
17-Apr-25,"4,667.90","-2,006.20",2661.7
16-Apr-25,"3,936.40","-2,512.80",1423.6
15-Apr-25,"6,065.80","-1,951.60",4114.200000000001
11-Apr-25,"-2,519","3,759.30",1240.3000000000002
09-Apr-25,"-4,358","2,976.70",-1381.3000000000002
